,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,Price Per SQFT,HOA Per Month,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
23,MLS Listing,Condo/Co-op,5844 NE 75th St Unit A207,Seattle,WA,98115,275000,1,1,Sand Point,629,114531,1977,27,437,309,Active,http://www.redfin.com/WA/Seattle/5844-NE-75th-St-98115/unit-A207/home/49618,NWMLS,1677150,47.6834619,-122.2645783,"{'spatialReference': {'wkid': 4326}, 'x': -122.2645783, 'y': 47.6834619}"
30,MLS Listing,Condo/Co-op,12300 28th Ave NE #303,Seattle,WA,98125,255000,1,1,Lake City,717,10796,1974,37,356,309,Active,http://www.redfin.com/WA/Seattle/12300-28th-Ave-NE-98125/unit-303/home/41387,NWMLS,1673120,47.7176378,-122.2974821,"{'spatialReference': {'wkid': 4326}, 'x': -122.2974821, 'y': 47.7176378}"
32,MLS Listing,Condo/Co-op,3015 SW Avalon Way #109,Seattle,WA,98126,265000,1,1,West Seattle,532,14675,2002,42,498,324,Active,http://www.redfin.com/WA/Seattle/3015-SW-Avalon-Way-98126/unit-109/home/45399,NWMLS,1670684,47.5664051,-122.371114,"{'spatialReference': {'wkid': 4326}, 'x': -122.371114, 'y': 47.5664051}"
33,MLS Listing,Condo/Co-op,5824 NE 75th St Unit D-302,Seattle,WA,98115,279000,1,1,Sand Point,624,10796,1977,48,447,307,Active,http://www.redfin.com/WA/Seattle/5824-NE-75th-St-98115/unit-D302/home/69363,NWMLS,1666919,47.6834619,-122.2645783,"{'spatialReference': {'wkid': 4326}, 'x': -122.2645783, 'y': 47.6834619}"
34,MLS Listing,Townhouse,8424 26th Ave SW Unit B,Seattle,WA,98106,285000,2,1.5,Westwood Village,1014,10796,1979,48,281,380,Active,http://www.redfin.com/WA/Seattle/8424-26th-Ave-SW-98106/unit-B/home/8506,NWMLS,1668497,47.527444,-122.3654847,"{'spatialReference': {'wkid': 4326}, 'x': -122.3654847, 'y': 47.527444}"
36,MLS Listing,Condo/Co-op,3626 14th Ave W #104,Seattle,WA,98119,289950,1,1,Queen Anne,551,10796,1978,55,526,274,Active,http://www.redfin.com/WA/Seattle/3626-14th-Ave-W-98119/unit-104/home/17382526,NWMLS,1665068,47.653037,-122.3745324,"{'spatialReference': {'wkid': 4326}, 'x': -122.3745324, 'y': 47.653037}"
42,MLS Listing,Condo/Co-op,840 NE 125th St #215,Seattle,WA,98125,250000,1,1,Pinehurst,586,10796,1988,64,427,272,Active,http://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-215/home/12537303,NWMLS,1654696,47.7197661,-122.3187761,"{'spatialReference': {'wkid': 4326}, 'x': -122.3187761, 'y': 47.7197661}"
43,MLS Listing,Condo/Co-op,903 N 130th St #317,Seattle,WA,98133,285000,1,1,Bitter Lake,619,10796,1989,65,460,342,Active,http://www.redfin.com/WA/Seattle/903-N-130th-St-98133/unit-317/home/256,NWMLS,1656138,47.7229356,-122.3478364,"{'spatialReference': {'wkid': 4326}, 'x': -122.3478364, 'y': 47.7229356}"
49,MLS Listing,Condo/Co-op,903 N 130th St #308,Seattle,WA,98133,285000,1,1,Bitter Lake,621,10796,1989,69,459,342,Active,http://www.redfin.com/WA/Seattle/903-N-130th-St-98133/unit-308/home/17796,NWMLS,1655575,47.7229356,-122.3478364,"{'spatialReference': {'wkid': 4326}, 'x': -122.3478364, 'y': 47.7229356}"
52,MLS Listing,Condo/Co-op,8609 25th Ave SW Unit C,Seattle,WA,98106,285000,2,1.75,Westwood,970,10796,1983,76,294,230,Active,http://www.redfin.com/WA/Seattle/8609-25th-Ave-SW-98106/unit-C/home/2082675,NWMLS,1652612,47.5261407,-122.3647507,"{'spatialReference': {'wkid': 4326}, 'x': -122.3647507, 'y': 47.5261407}"
57,MLS Listing,Condo/Co-op,2421 SW Trenton St #301,Seattle,WA,98106,299950,2,1.75,West Seattle,885,29814,1981,84,339,392,Active,http://www.redfin.com/WA/Seattle/2421-SW-Trenton-St-98106/unit-301/home/58535,NWMLS,1649955,47.5242599,-122.3641512,"{'spatialReference': {'wkid': 4326}, 'x': -122.3641512, 'y': 47.5242599}"
58,MLS Listing,Condo/Co-op,2990 SW Raymond St #203,Seattle,WA,98126,279995,1,1,High Point,533,10796,2007,86,525,288,Active,http://www.redfin.com/WA/Seattle/2990-SW-Raymond-St-98126/unit-203/home/12305818,NWMLS,1648878,47.5484932,-122.3699194,"{'spatialReference': {'wkid': 4326}, 'x': -122.3699194, 'y': 47.5484932}"
60,MLS Listing,Condo/Co-op,3814 11th Ave W #13,Seattle,WA,98119,265000,1,1,Queen Anne,674,10796,1965,91,393,348,Active,http://www.redfin.com/WA/Seattle/3814-11th-Ave-W-98119/unit-13/home/12510,NWMLS,1633029,47.6541662,-122.3711336,"{'spatialReference': {'wkid': 4326}, 'x': -122.3711336, 'y': 47.6541662}"
63,MLS Listing,Condo/Co-op,606 E Thomas St Unit R,Seattle,WA,98102,275000,1,1,Capitol Hill,570,10796,1906,104,482,400,Active,http://www.redfin.com/WA/Seattle/606-E-Thomas-St-98102/unit-R/home/172642942,NWMLS,1638499,47.6210029,-122.3237672,"{'spatialReference': {'wkid': 4326}, 'x': -122.3237672, 'y': 47.6210029}"
149,MLS Listing,Condo/Co-op,901 5th Ave N #1,Seattle,WA,98109,329950,1,1,Queen Anne,596,22800,1965,1,554,301,Active,http://www.redfin.com/WA/Seattle/901-5th-Ave-N-98109/unit-1/home/2093217,NWMLS,1688475,47.6276729,-122.3479725,"{'spatialReference': {'wkid': 4326}, 'x': -122.3479725, 'y': 47.6276729}"
154,MLS Listing,Single Family Residential,7721 16th Ave SW,Seattle,WA,98106,325000,1,1,Highland Park,660,5040,1918,3,492,0,Active,http://www.redfin.com/WA/Seattle/7721-16th-Ave-SW-98106/home/476344,NWMLS,1687041,47.5329698,-122.3554213,"{'spatialReference': {'wkid': 4326}, 'x': -122.3554213, 'y': 47.5329698}"
